"year","lea_code","lea_name","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 5","math","full_year",721,719,379,77,263,280,99
2014,0,"CHARTER SECTOR LEA","Direct Cert","grade 5","read","full_year",721,719,368,64,287,346,22
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","all","math","full_year",18543,18150,9401,2996,5753,6304,3097
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","all","read","full_year",18543,18108,8736,2807,6565,6849,1887
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 3","math","full_year",3344,3317,1588,554,1175,1059,529
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 3","read","full_year",3344,3315,1431,762,1122,1202,229
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 7","math","full_year",2272,2248,1206,353,689,857,349
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 7","read","full_year",2272,2248,1193,198,857,799,394
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 6","math","full_year",2173,2153,1017,418,718,607,410
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 6","read","full_year",2173,2155,927,390,838,796,131
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 4","math","full_year",2967,2942,1661,536,745,1023,638
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 4","read","full_year",2967,2941,1428,472,1041,1154,274
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 5","math","full_year",2776,2754,1354,490,910,889,465
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 5","read","full_year",2776,2712,1390,290,1032,1219,171
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 8","math","full_year",2327,2286,1369,240,677,939,430
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 8","read","full_year",2327,2285,1146,270,869,854,292
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 10","math","full_year",2684,2450,1206,405,839,930,276
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","All","grade 10","read","full_year",2684,2452,1221,425,806,825,396
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","all","math","full_year",9363,9165,4469,1698,2998,2958,1511
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","all","read","full_year",9363,9148,3886,1809,3453,3104,782
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 7","math","full_year",1138,1126,558,213,355,382,176
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 7","read","full_year",1138,1126,528,141,457,357,171
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 6","math","full_year",1091,1081,477,228,376,278,199
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 6","read","full_year",1091,1085,398,263,424,340,58
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 4","math","full_year",1488,1475,820,291,364,484,336
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 4","read","full_year",1488,1475,653,307,515,532,121
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 5","math","full_year",1443,1431,654,276,501,440,214
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 5","read","full_year",1443,1408,643,199,566,569,74
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 8","math","full_year",1204,1184,668,139,377,467,201
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 8","read","full_year",1204,1184,513,181,490,391,122
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 3","math","full_year",1699,1687,782,310,595,517,265
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 3","read","full_year",1699,1686,655,453,578,566,89
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 10","math","full_year",1300,1181,510,241,430,390,120
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","MALE","grade 10","read","full_year",1300,1184,496,265,423,349,147
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","all","math","full_year",9180,8985,4932,1298,2755,3346,1586
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","all","read","full_year",9180,8960,4850,998,3112,3745,1105
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 3","math","full_year",1645,1630,806,244,580,542,264
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 3","read","full_year",1645,1629,776,309,544,636,140
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 7","math","full_year",1134,1122,648,140,334,475,173
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 7","read","full_year",1134,1122,665,57,400,442,223
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 5","math","full_year",1333,1323,700,214,409,449,251
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 5","read","full_year",1333,1304,747,91,466,650,97
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 8","math","full_year",1123,1102,701,101,300,472,229
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 8","read","full_year",1123,1101,633,89,379,463,170
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 4","math","full_year",1479,1467,841,245,381,539,302
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 4","read","full_year",1479,1466,775,165,526,622,153
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 10","math","full_year",1384,1269,696,164,409,540,156
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 10","read","full_year",1384,1268,725,160,383,476,249
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 6","math","full_year",1082,1072,540,190,342,329,211
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","FEMALE","grade 6","read","full_year",1082,1070,529,127,414,456,73
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","all","math","full_year",374,357,309,8,40,127,182
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","all","read","full_year",374,355,278,14,63,205,73
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 6","math","full_year",49,47,41,2,4,13,28
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 6","read","full_year",49,47,34,4,9,29,5
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 4","math","full_year",60,58,54,0,4,15,39
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 4","read","full_year",60,58,50,0,8,41,9
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 3","math","full_year",64,60,49,2,9,25,24
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 3","read","full_year",64,59,46,2,11,38,8
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 7","math","full_year",47,46,42,0,4,22,20
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 7","read","full_year",47,45,37,1,7,22,15
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 5","math","full_year",53,52,42,1,9,22,20
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 5","read","full_year",53,52,39,1,12,33,6
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 10","math","full_year",56,54,44,2,8,19,25
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 10","read","full_year",56,54,41,4,9,27,14
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 8","math","full_year",45,40,37,1,2,11,26
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","AS7","grade 8","read","full_year",45,40,31,2,7,15,16
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","all","math","full_year",12842,12597,5246,2631,4720,4162,1084
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","all","read","full_year",12842,12565,4920,2348,5297,4248,672
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 3","math","full_year",2126,2120,724,477,919,570,154
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 3","read","full_year",2126,2119,668,626,825,614,54
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 7","math","full_year",1616,1607,717,308,582,604,113
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 7","read","full_year",1616,1608,711,165,732,565,146
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 6","math","full_year",1549,1542,533,391,618,408,125
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 6","read","full_year",1549,1546,503,349,694,461,42
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 4","math","full_year",1947,1937,875,458,604,673,202
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 4","read","full_year",1947,1938,707,384,847,640,67
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 5","math","full_year",1911,1906,732,438,736,542,190
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 5","read","full_year",1911,1869,796,241,832,744,52
2014,1,"DISTRICT OF COLUMBIA PUBLIC SCHOOLS","BL7","grade 8","math","full_year",1674,1657,877,209,571,701,176
